DO,latitude,longitude,raims_blancs,raims_negres,extra,country
Vinho Verde,41.14333,-8.66944,"Albariño, Loureiro, Trajadura, Arinto, Azal ","Alvarelhão, Borraçal, Pedral, Vinhão",,Portugal
Trás-os-Montes,41.51556,-7.73333,,"Bastardo, Touriga Nacional, Touriga Franca, Cabernet Sauvignon, Trincadeira",,Portugal
Porto and Douro,41.14333,-8.66944,,"Touriga Nacional, Touriga Franca, Tempranillo, Tinta Barroca, Tinto Cão, Alicante Bouschet",,Portugal
Távora and Varosa,41.14333,-8.66944,"MalvasiaFina, Sercial, Verdejo, Bual",,,Portugal
Dão and Lafões,40.525,-7.86667,"Encruzado, Bical, Cercial, Malvasia","Touriga Nacional, Alfrocheiro, Jaen, Aragonês, Rufete",,Portugal
Bairrada,40.21667,-8.43333,"Bical, Fernão Pires, Cercial, Sercialinho, Chardonnay, Sauvignon Blanc","Baga, Touriga Nacional, Merlot, Cabernet Sauvignon, Syrah, Tempranillo",,Portugal
Beira Interior,40.525,-7.86667,"Siria, Arinto, Fonte Cal, Malvasia, Fernão Pires","Touriga Nacional, Tempranillo, Rufete, Bastardo, Marufo",,Portugal
Lisboa,39.03333,-9.16667,"Arinto, Fernão Pires, Malvasia, Seara Nova, Vital","Castel, Tinta Miúda, Touriga Franca, Touriga Nacional, Trincadeira",,Portugal
Tejo,39.45,-8.3,"Verdejo, Albariño, Arinto, Fernão Pires","Touriga Nacional, Trincadeira, Castel, Tempranillo",,Portugal
Península de Setúbal,38.5,-8.5,"Moscatel de Setúbal, Fernão Pires, Arinto, Chardonnay","Castel, Touriga Nacional, Touriga Franca, Aragonês, Trincadeira Preta",,Portugal
Alentejo,37.25,-7.91667,"Antão Vaz, Fernão Pires, Rabo de Ovelha, Roupeiro","Alfrocheiro, Moreto, Periquita, Trincadeira, Alicante Bouschet, Castel, Touriga Nacional",,Portugal
Algarve,37.11667,-8.01667,"Siria, Arinto, MalvasiaFina","Syrah, Cabernet Sauvignon, Negra Mole, Trincadeira, Castel",,Portugal
Madeira,32.63333,-16.93333,"Malvasia, Sercial, Verdejo, Bual",,,Portugal
Açores,37.75,-25.68333,"Verdejo, Arinto, Terrantez, Sercial, Malvasia","Aragonês, Touriga Nacional, Tempranillo",,Portugal
Abona,28.11882,-16.57599,"Listán Blanco, Malvasia, Marmajuelo","Listán Negro, Negramoll",,Spain
Alella,41.4939555,2.295461,"Xarel·lo, Garnacha Blanca","Tempranillo, Merlot",,Spain
Alicante,38.34517,-0.48149,"Moscatell de Alejandría, Macabeo","Monastrell, Garnacha, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Almansa,38.86917,-1.09713,,"Monastrell, Cencibel, Garnacha, Garnacha, Cabernet Sauvignon, Merlot, Syrah, Petit Verdot",,Spain
Arlanza,42.0471,-3.72219,"Albillo, Viura","Tempranillo, Garnacha, Mencía, Cabernet Sauvignon, Merlot, Petit Verdot",,Spain
Arribes,41.3166,-6.3972,"Malvasia Castellana, Doña Blanca, Puesta en Cruz","Juan García, Bruñal, Mencía, Rufete, Bastardillo Chico, Tinto Jeromo, Mandón, Gajo Arroba",,Spain
Bierzo,42.655389,-6.614798,"Godello, Doña Blanca","Mencía, Garnacha, Tempranillo",,Spain
Binissalem-Mallorca,39.6844,2.8468,"Prensal Blanc, Macabeo, Chardonnay","Manto Negro, Callet, Cabernet Sauvignon, Merlot, Syrah",,Spain
Bullas,38.04667,-1.67227,"Macabeo, Airén, Merseguera","Monastrell, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
