varietats,pais_origen,regions_utilitzen,regions_noms,tonalitats_1,tonalitats_2,tonalitats_3,tonalitats_4,tonalitats_5
Chardonnay,France,165,"Bairrada, Península de Setúbal, Binissalem-Mallorca, Calatayud, Campo de Borja, Cariñena, Catalonia, Cava, Conca de Barberá, Costers del Segre, Empordá, La Mancha, Malaga, Montsant, Navarra, Penedés, Pla de Bages, Pla de Llevant, Priorat, Ribera del Guadiana, Rioja, Rueda, Sierras de Málaga, Somontano, Tarragona, Utiel-Requena, Valdepeñas, Champagne, Crémant d'Alsace AOC, Chablis, Beaujolais, Limoux, Meursault, Côtes d'Auxerre, Pays d'Oc, Friuli-Venezia-Giulia, Lazio, Lombardy, Molise, Trentino-Alto-Adige, Aosta Valley (Valle d'Aosta), Veneto, Ahr, Baden, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Dobruja (Dobrogea), Thracian Valley, Rose Valley, Black Sea, Danubian Plain, British Columbia, Quebec, Ontario, Nova Scotia, California, Oregon, Washington, Pennsylvania, Massachusetts, Baja Norte (Baja California), Sonora, Durango, Coahuila, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Campos de Cima da Serra, Serra Gaúcha, Campanha Gaúcha, Canelones, San José, Colonia, Rivera, Salto, Montevideo, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Limarí, Valle del Choapa, Valle del Aconcagua, Valle de Casablanca, Valle de San Antonio, Valle del Maipo, Valle del Cachapoal, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó, Valle del Maule, Valle del Itata, Valle del Biobío, Valle del Malleco, Salta, Tucumán, La Rioja, San Juan, Mendoza, La Pampa, Western Australia, South Australia, Victoria, New South Wales, Tasmania, Granite Belt, Central Otago, Canterbury, Nelson, Marlborough, Waipara, Hawke’s Bay, Gisborne, Waikato, Auckland, Northland, Breedekloof, Robertson, Worcester, Cape Agulhas, Overberg, Plettenberg Bay, Walker Bay, Elgin, Swellendam, Stellenbosch, Paarl, Swartland, Darling, Tulbagh, Wellington, Tygerberg, Constantia, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia, Olifants River, Batroun, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf",Green apple, Citrus, Tropical fruits, Vanilla, Honey
Sauvignon,France,140,"Bairrada, Catalonia, Costers del Segre, La Mancha, Malaga, Navarra, Penedés, Pla de Bages, Rueda, Sierras de Málaga, Somontano, Utiel-Requena, Valdepeñas, Saint-Émilion, Margaux, Sauternes, Pouilly-Fumé, Sancerre, Pays d'Oc, Val de Loire, Lazio, Lombardy, Molise, Trentino-Alto-Adige, Baden, Styria, Burgenland, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Dobruja (Dobrogea), Struma Valley, Thracian Valley, Rose Valley, Black Sea, British Columbia, Ontario, Nova Scotia, California, Oregon, Washington, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Serra Gaúcha, Serra do Sudeste, Campanha Gaúcha, Canelones, San José, Colonia, Salto, Montevideo, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Limarí, Valle del Choapa, Valle del Aconcagua, Valle de Casablanca, Valle de San Antonio, Valle del Maipo, Valle del Cachapoal, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó, Valle del Maule, Valle del Biobío, Valle del Malleco, Salta, Tucumán, La Rioja, San Juan, Mendoza, La Pampa, Río Negro, Western Australia, South Australia, Victoria, New South Wales, Tasmania, Central Otago, Canterbury, Nelson, Marlborough, Waipara, Hawke’s Bay, Gisborne, Waikato, Auckland, Northland, Breedekloof, Robertson, Worcester, Cape Agulhas, Overberg, Plettenberg Bay, Walker Bay, Elgin, Swellendam, Stellenbosch, Paarl, Swartland, Darling, Tulbagh, Wellington, Tygerberg, Constantia, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia, Olifants River, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf",Herbal, Green bell pepper, Gooseberry, Passion fruit,
Sauvignon Blanc,France,138,"Bairrada, Catalonia, Costers del Segre, La Mancha, Malaga, Navarra, Penedés, Pla de Bages, Rueda, Sierras de Málaga, Somontano, Utiel-Requena, Valdepeñas, Saint-Émilion, Margaux, Sauternes, Pouilly-Fumé, Sancerre, Pays d'Oc, Val de Loire, Lazio, Lombardy, Molise, Trentino-Alto-Adige, Baden, Styria, Burgenland, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Dobruja (Dobrogea), Thracian Valley, Rose Valley, Black Sea, British Columbia, Ontario, Nova Scotia, California, Oregon, Washington, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Serra Gaúcha, Serra do Sudeste, Campanha Gaúcha, Canelones, San José, Colonia, Salto, Montevideo, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Limarí, Valle del Choapa, Valle del Aconcagua, Valle de Casablanca, Valle de San Antonio, Valle del Maipo, Valle del Cachapoal, Valle de Colchagua, Marchigüe, Lolol, Valle del Curicó, Valle del Maule, Valle del Biobío, Valle del Malleco, Salta, Tucumán, La Rioja, San Juan, Mendoza, La Pampa, Río Negro, Western Australia, South Australia, Victoria, New South Wales, Tasmania, Central Otago, Canterbury, Nelson, Marlborough, Waipara, Hawke’s Bay, Gisborne, Waikato, Auckland, Northland, Breedekloof, Robertson, Worcester, Cape Agulhas, Overberg, Plettenberg Bay, Walker Bay, Elgin, Swellendam, Stellenbosch, Paarl, Swartland, Darling, Tulbagh, Wellington, Tygerberg, Constantia, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia, Olifants River, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf",Herbal, Green bell pepper, Gooseberry, Passion fruit,
Riesling,Alemanya,75,"Malaga, Sierras de Málaga, Somontano, Alsace AOC, Alsace Grand Cru AOC, Crémant d'Alsace AOC, Friuli-Venezia-Giulia, Lombardy, Trentino-Alto-Adige, Ahr, Baden, Württemberg, Pfalz, Rheinhessen, Nahe, Mosel, Rheingau, Franken (Franconia), Hessische Bergstrasse, Mittelrhein, Saale-Unstrut, Sachsen (Saxony), Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Dobruja (Dobrogea), Black Sea, Danubian Plain, British Columbia, Ontario, Nova Scotia, California, Oregon, Washington, Pennsylvania, Massachusetts, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Canelones, Valle del Biobío, Valle del Malleco, Salta, Tucumán, Mendoza, Western Australia, South Australia, New South Wales, Tasmania, Central Otago, Canterbury, Marlborough, Waipara, Batroun",Peach, Green or red apple, Pear, Grapefruit, Jasmine
Muscat,Grecia,49,"Alsace AOC, Alsace Grand Cru AOC, Burgenland, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Creta (Crete), Egeo Septentrional (North Aegean), Grecia Occidental (Western Grecia), Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Valaquia (Wallachia), Dobruja (Dobrogea), Thracian Valley, Rose Valley, Black Sea, Danubian Plain, British Columbia, Nova Scotia, Baja Norte (Baja California), Sonora, Durango, Coahuila, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Serra Gaúcha, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Valle del Itata, Salta, Tucumán, Mendoza, Batroun, Baabda-Aley",Muscat, Floral, Citrus, Honeyed,
Pinot Gris,France,39,"Alsace AOC, Alsace Grand Cru AOC, Pfalz, Rheinhessen, Nahe, Hessische Bergstrasse, Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Valaquia (Wallachia), British Columbia, Quebec, Ontario, California, Oregon, Washington, Planalto Catarinense, Campanha Gaúcha, Tasmania, Central Otago, Canterbury, Nelson, Marlborough, Waipara, Gisborne, Overberg, Walker Bay, Elgin",Spicy, Floral, Fruity, Honeyed,
Muscat Ottonel,France,32,"Burgenland, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Transilvania (Transylvania), Valaquia (Wallachia), Dobruja (Dobrogea), Thracian Valley, Black Sea, Danubian Plain, British Columbia, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Salta, Tucumán, Mendoza",Muscat, Floral, Honeyed,,
Macabeo,Espanya,31,"Alicante, Binissalem-Mallorca, Bullas, Calatayud, Campo de Borja, Cariñena, Catalonia, Cava, Conca de Barberá, Costers del Segre, Empordá, Jumilla, La Mancha, Malaga, Manchuela, Montsant, Penedés, Pla de Bages, Pla de Llevant, Priorat, Ribera del Guadiana, Sierras de Málaga, Somontano, Tarragona, Terra Alta, Uclés, Utiel-Requena, Valdepeñas, Valencia, Yecla, Querétaro",Floral, Citrus, Herbal,,
Moscatell,Espanya,31,"Alicante, Jerez-Xérés-Sherry, Malaga, Navarra, Sierras de Málaga, Tacoronte-Acentejo, Toro, Valencia, Ycoden-Daute-Isora, Molise, Piedmont, Apulia (Puglia), Sardinia (Sardegna), Sicily (Sicilia), Trentino-Alto-Adige, Aosta Valley (Valle d'Aosta), Baden, Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Vale do São Francisco, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Catamarca",Muscat, Floral, Citrus,,
Traminer,Italia,29,"Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Dobruja (Dobrogea), Rose Valley, Black Sea, British Columbia, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Salta, Tucumán, Mendoza",Lychee, Rose, Ginger, Orange blossom, Honey
Viognier,France,28,"Malaga, Rueda, Sierras de Málaga, Côtes du Rhône, Condrieu, Château-Grillet, Côte-Rôtie, Pays d'Oc, Duché d'Uzès, Balatoni Borrégió, Duna Borrégió, Querétaro, Vale do São Francisco, San José, Montevideo, Maldonado, La Rioja, San Juan, South Australia, Victoria, South Burnett, Batroun, Central Bekaa, The West Bekaa, Baabda-Aley, Keserwan, Metn, Chouf",Peach, Apricot, Honeysuckle, Violet, Honey
Malvasia,Grecia,26,"Távora and Varosa, Dão and Lafões, Beira Interior, Lisboa, Algarve, Madeira, Açores, Abona, Arribes, Cava, Lanzarote, Rioja, Tacoronte-Acentejo, Toro, Güimar Valley, Orotava Valley, Ycoden-Daute-Isora, Basilicata, Emilia-Romagna, Friuli-Venezia-Giulia, Lazio, Molise, Tuscany (Toscana), Hrvatska Istra (Istria), Srednja i Južna Dalmacija (Central and South Dalmatia), Serra do Sudeste",Pear, Apple, Pineapple, Tropical fruits, Balsamic
Chenin Blanc,France,23,"Vourvray, Val de Loire, Quebec, Baja Norte (Baja California), Sonora, Durango, Coahuila, Vale do São Francisco, Canelones, La Rioja, San Juan, Breedekloof, Robertson, Worcester, Stellenbosch, Paarl, Swartland, Tulbagh, Wellington, Franschhoek Valley, Klein Karoo, Calitzdorp, Langeberg-Garcia",Green apple, Pear, Honey, Acacia, Citrus
